folder,gpu,status,return_code,started_at,ended_at,elapsed_seconds,alpha,beta,gamma
MFIS_t_7_nomi_16_gvar_1,0,simulation_ok,0,2026-07-26T17:41:49.482029+00:00,2026-07-26T19:05:04.532327+00:00,4995.050,-8.000000000000e+09,1.486000000000e+12,3.609467455621e+09
MFIS_t_7_nomi_16_gvar_2,1,simulation_ok,0,2026-07-26T17:41:49.483080+00:00,2026-07-26T19:06:34.640504+00:00,5085.157,-8.000000000000e+09,1.486000000000e+12,4.692307692308e+09
MFIS_t_7_nomi_16_gvar_3,0,simulation_ok,0,2026-07-26T19:05:04.638397+00:00,2026-07-26T20:28:04.792496+00:00,4980.154,-8.000000000000e+09,1.486000000000e+12,7.930000000000e+09
MFIS_t_7_nomi_16_gvar_4,1,simulation_ok,0,2026-07-26T19:06:34.744058+00:00,2026-07-26T20:31:34.899033+00:00,5100.155,-8.000000000000e+09,1.486000000000e+12,1.030900000000e+10
MFIS_t_6_nomi_1.5_gvar_1,0,simulation_ok,0,2026-07-26T20:28:04.895815+00:00,2026-07-26T22:36:20.083162+00:00,7695.187,-6.100000000000e+09,6.000000000000e+12,5.917159763314e+09
MFIS_t_6_nomi_1.5_gvar_2,1,simulation_ok,0,2026-07-26T20:31:35.008643+00:00,2026-07-26T22:45:50.211607+00:00,8055.203,-6.100000000000e+09,6.000000000000e+12,7.692307692308e+09
MFIS_t_6_nomi_1.5_gvar_3,0,simulation_ok,0,2026-07-26T22:36:20.204117+00:00,2026-07-27T00:45:20.431016+00:00,7740.227,-6.100000000000e+09,6.000000000000e+12,1.300000000000e+10
MFIS_t_6_nomi_1.5_gvar_4,1,simulation_ok,0,2026-07-26T22:45:50.351125+00:00,2026-07-27T01:17:35.574371+00:00,9105.223,-6.100000000000e+09,6.000000000000e+12,1.690000000000e+10
MFIS_t_5_nomi_3.5_gvar_1,0,simulation_ok,0,2026-07-27T00:45:20.552249+00:00,2026-07-27T01:38:35.715120+00:00,3195.163,-7.400000000000e+09,1.400000000000e+12,2.958579881657e+09
MFIS_t_5_nomi_3.5_gvar_2,1,simulation_ok,0,2026-07-27T01:17:35.700687+00:00,2026-07-27T02:12:05.828234+00:00,3270.128,-7.400000000000e+09,1.400000000000e+12,3.846153846154e+09
MFIS_t_5_nomi_3.5_gvar_3,0,simulation_ok,0,2026-07-27T01:38:35.805795+00:00,2026-07-27T02:31:50.929293+00:00,3195.123,-7.400000000000e+09,1.400000000000e+12,6.500000000000e+09
MFIS_t_5_nomi_3.5_gvar_4,1,simulation_ok,0,2026-07-27T02:12:05.915420+00:00,2026-07-27T02:49:20.975613+00:00,2235.060,-7.400000000000e+09,1.400000000000e+12,8.450000000000e+09
